MainMenu_DifficultySelection_1:: "请等房主选择COTF困难"
MainMenu_Inventory_7:: "肩膀"
MainMenu_Inventory_8:: "手"
MainMenu_Inventory_9:: "脖子"
MainMenu_Inventory_10:: "手腕"
MainMenu_Inventory_11:: "手指"
MainMenu_Inventory_12:: "主手"
MainMenu_Inventory_13:: "副手"
MainMenu_Inventory_14:: "总计"
MainMenu_Inventory_15:: "比较"
MainMenu_Inventory_16:: "Level"
MainMenu_Inventory_17:: "消耗"
MainMenu_Inventory_18:: "拆分堆栈"
MainMenu_Inventory_19:: "下降"
MainMenu_Inventory_20:: "近战伤害 "
MainMenu_Inventory_21:: "远程伤害 "
MainMenu_Inventory_22:: "魔法伤害 "
MainMenu_Inventory_23:: "韧性 "
MainMenu_Inventory_24:: "快速指南 \n\n 快捷键:  \n\n[鼠标右键] - 显示选择项目 \n[左Shift] 在检查物品的同时--与已装备的物品进行比较 \n[左Alt] 在检查项目时 - 显示总的统计信息 \n [鼠标左键] + [左Shift] - 装备物品\n [鼠标左键] + [左Ctrl] - 在制作过程中使用该物品，或作为配料加入 \n\n 在有插槽的物品上拖放一个插槽材料，就会把材料放到插槽里。 "
MainMenu_Inventory_25:: "总结"
Item_1:: "护盾"
Item_2:: "箭袋"
Item_3:: "武器"
Item_4:: "其他"
Item_5:: "材料"
Item_6:: "头盔"
Item_7:: "靴子"
Item_8:: "裤子"
Item_9:: "胸甲"
Item_10:: "肩甲"
Item_11:: "手套"
Item_12:: "护腕"
Item_13:: "护符"
Item_14:: "戒指"
Item_15:: "卷轴"
MainMenu_Guide_1:: ": "
MainMenu_Guide_2:: "页"
MainMenu_Guide_3:: "属性"
MainMenu_Guide_4:: "力量"
MainMenu_Guide_5:: "每{1}点力量增加{0}点近战伤害，总计{1:P1}"
MainMenu_Guide_6:: "敏捷性"
MainMenu_Guide_7:: "每点敏捷增加{0}点远程伤害，总共{1:P1}. \n每个敏捷点增加{2}点最大能量"
MainMenu_Guide_8:: "活力"
MainMenu_Guide_9:: "每点活力增加{0}点生命值，总计{1}"
MainMenu_Guide_10:: "智力"
MainMenu_Guide_11:: "每点智力增加{0}的魔法伤害，总计{1}。 \n 每点智力增加耐力回复{2}，总计{3}."
MainMenu_Guide_12:: "防御"
MainMenu_Guide_13:: "生命"
MainMenu_Guide_14:: "总血量池。\n所有玩家开始时的基本生命值为{0}.\n来自活力的生命： {1} \n额外生命：{2}\n生命增加倍数： {3}"
MainMenu_Guide_15:: "能量"
MainMenu_Guide_16:: "总能量池。\n所有玩家开始时的基本能量值为 {0}\n来自敏捷的能量： {1}\n能量倍数： {2}"
MainMenu_Guide_17:: "护甲"
MainMenu_Guide_18:: "护甲提供物理伤害减免。 \n盔甲带来{0}点物理伤害减免"
MainMenu_Guide_19:: "魔法抗性 "
MainMenu_Guide_20:: "魔法伤害减少。减少来自敌人技能的伤害。"
MainMenu_Guide_21:: "闪避概率"
MainMenu_Guide_22:: "有几率免疫所有物理伤害，闪避对火、毒、寒冰等大多数魔法无效。\n“流星雨”技能造成的物理伤害可以被免疫，但无法免疫燃烧效果。"
MainMenu_Guide_23:: "伤害减免"
MainMenu_Guide_24:: "减少来自所有来源的伤害"
MainMenu_Guide_25:: "每一次的物理伤害都会被伤害拦截所减少。拦截是在伤害减免之后应用的。"
MainMenu_Guide_26:: "伤害拦截"
MainMenu_Guide_27:: "额外生命值，在一段时间后会消失。这种临时的状况可以通过能量护盾技能和一些物品获得。"
MainMenu_Guide_28:: "耐火性"
MainMenu_Guide_29:: "减少来自火、光芒和其他一些火属性魔法的伤害。"
MainMenu_Guide_30:: "荆棘伤害"
MainMenu_Guide_31:: "荆棘对攻击的敌人造成伤害。装备和变异的荆棘 {0}. 来自属性的荆棘量： {1}.\n即使你格挡，荆棘也会对攻击者造成伤害"
MainMenu_Guide_32:: "恢复"
MainMenu_Guide_33:: "冲刺后体力恢复暂时停止"
MainMenu_Guide_34:: "每秒恢复的总体力"
MainMenu_Guide_35:: "统一的体力恢复奖励：{0}点每秒. 体力恢复倍数：{1}"
MainMenu_Guide_36:: "每秒回复能量：{0}\n耐力和能量的回复倍数： {1}"
MainMenu_Guide_37:: "每秒能量"
MainMenu_Guide_38:: "来自物品的能量与额外能量：{0}"
MainMenu_Guide_39:: "攻击能量回复"
MainMenu_Guide_40:: "每秒生命回复： {0}\n耐力回复： {1}\n所有恢复增量： {2}"
MainMenu_Guide_41:: "每秒生命"
MainMenu_Guide_42:: "攻击生命回复： {0}\n生命回复： {1}\n所有生命回复增量：{2}"
MainMenu_Guide_43:: "攻击生命回复"
MainMenu_Guide_44:: "攻击"
MainMenu_Guide_45:: "所有伤害"
MainMenu_Guide_46:: "暴击伤害"
MainMenu_Guide_47:: "暴击几率"
MainMenu_Guide_48:: "提高了玩家的行动、挥舞武器、枪支重新装填和拉弓的速度。"
MainMenu_Guide_49:: "攻击速度"
MainMenu_Guide_50:: "增加火焰伤害"
MainMenu_Guide_51:: "火焰伤害"
MainMenu_Guide_52:: "流血的敌人每秒受到{0}的伤害，持续{1}秒"
MainMenu_Guide_53:: "流血几率"
MainMenu_Guide_54:: "所有玩家对虚弱中的敌人伤害增加{0}"
MainMenu_Guide_55:: "虚弱几率"
MainMenu_Guide_56:: "被减速的敌人移动和攻击都会变慢{0}。"
MainMenu_Guide_57:: "减速几率"
MainMenu_Guide_58:: "近战"
MainMenu_Guide_59:: "近战伤害可以通过额外加成、库存物品、魔法、突变能力和属性来增加。\n来自力量的加成： {0}\n近战伤害倍数： {1}\n增加所有伤害： {2}"
MainMenu_Guide_60:: "近战伤害"
MainMenu_Guide_61:: "近战伤害可以通过额外加成和库存物品增加（主要是这个状态发生在武器上）。 这将被添加到武器伤害中，并乘以上述状态。"
MainMenu_Guide_62:: "额外的近战武器伤害"
MainMenu_Guide_63:: "近战范围"
MainMenu_Guide_64:: "重击伤害"
MainMenu_Guide_65:: "远程"
MainMenu_Guide_66:: "远程伤害的可以通过额外加成、库存物品、魔法、突变能力和属性来增加。\n敏捷带来的加成：{0}\n远程伤害倍数：{1}\n大量额外补贴： {2}\n增加所有伤害：{3}"
MainMenu_Guide_67:: "远程伤害"
MainMenu_Guide_68:: "远程伤害可以通过额外加成和库存物品增加（主要是这个状态发生在武器上）。 这将被添加到箭射出的伤害中，并乘以上述状态。"
MainMenu_Guide_69:: "额外的远程武器伤害"
MainMenu_Guide_70:: "更快的弹丸飞得更远，落得更慢"
MainMenu_Guide_71:: "射速"
MainMenu_Guide_72:: "更大的弹丸可以更容易地击中头部。大多数弹丸仍然只能击中{0}个目标。"
MainMenu_Guide_73:: "弹丸大小"
MainMenu_Guide_74:: "爆头伤害倍数"
MainMenu_Guide_75:: "爆头伤害"
MainMenu_Guide_76:: "投射物有机会刺穿敌人的骨头，并直接飞过，击中敌人背后的物体。 把这个值增加到{0}以上，将使你的弹丸在第一次接触敌人时总是穿透，而且任何进一步的击中也有机会穿透。"
MainMenu_Guide_77:: "物理穿透几率"
MainMenu_Guide_78:: "无损耗几率"
MainMenu_Guide_79:: "长矛爆头几率"
MainMenu_Guide_80:: "双发几率"
MainMenu_Guide_81:: "长矛伤害"
MainMenu_Guide_82:: "子弹爆头几率"
MainMenu_Guide_83:: "子弹伤害"
MainMenu_Guide_84:: "弩箭伤害"
MainMenu_Guide_85:: "弓箭伤害"
MainMenu_Guide_86:: "射击敌人会产生指向他们的魔法箭。 这个能力有一个短暂的冷却时间"
MainMenu_Guide_87:: "多发"
MainMenu_Guide_88:: "多发下的能量成本的公式是(多发投射物^ {0})* {1}。"
MainMenu_Guide_89:: "多发成本"
MainMenu_Guide_90:: "魔法"
MainMenu_Guide_91:: "魔法伤害可以通过额外加成、库存物品、魔法、突变能力和属性来增加。\n来自智力的加成： {0}\n魔法伤害倍数： {1}\n增加的所有伤害：{2}"
MainMenu_Guide_92:: "魔法伤害"
MainMenu_Guide_93:: "魔法伤害可以通过额外加成和库存物品增加。这是对魔法伤害的加成，并乘以上述的状态。通常情况下，魔法会抽取这个状态的一小部分，并将其加入魔法的伤害中。"
MainMenu_Guide_94:: "额外魔法伤害"
MainMenu_Guide_95:: "减少了施法所需的能量。能量是屏幕上的深蓝色条。能量会随着时间的推移而耗尽，需要食物或休息来恢复。"
MainMenu_Guide_96:: "降低魔法成本"
MainMenu_Guide_97:: "耐力是能迅速恢复的资源。"
MainMenu_Guide_98:: "魔法消耗转为消耗体力值"
MainMenu_Guide_99:: "冷却时间减少"
MainMenu_Guide_100:: "减少护甲"
MainMenu_Guide_101:: "减少{0}的近战护甲"
MainMenu_Guide_102:: "减少{0}远程护甲"
MainMenu_Guide_103:: "减少{0}荆棘护甲"
MainMenu_Guide_104:: "荆棘"
MainMenu_Guide_105:: "减少任何攻击自己的敌人护甲"
MainMenu_Guide_106:: "任何来源"
MainMenu_Guide_107:: "幸存者统计"
MainMenu_Guide_108:: "基础移动速度的倍数。 基础行走速度等于{0}英尺/秒，加上奖励后是{1}英尺/秒"
MainMenu_Guide_109:: "移动速度"
MainMenu_Guide_110:: "基础跳跃力的倍数。增加你跳跃的高度"
MainMenu_Guide_111:: "跳跃力量"
MainMenu_Guide_112:: "饥饿的速度与正常情况相比慢了多少。"
MainMenu_Guide_113:: "饥饿度"
MainMenu_Guide_114:: "口渴的速度与正常情况相比慢了多少。"
MainMenu_Guide_115:: "口渴率"
MainMenu_Guide_116:: "获得的所有经验的倍数"
MainMenu_Guide_117:: "经验比例"
MainMenu_Guide_118:: "连杀间隔可以维持多长时间"
MainMenu_Guide_119:: " s"
MainMenu_Guide_120:: "连杀时间"
MainMenu_Guide_121:: "每杀一个敌人，连杀间隔的维持时间都会增加"
MainMenu_Guide_122:: "连杀时间"
MainMenu_Guide_123:: "木筏的速度倍数。其他玩家的物品和额外加成也会影响这个数值。"
MainMenu_Guide_124:: "涡轮增压艇速度"
MainMenu_Guide_125:: "影响从怪物那里掠夺的物品的稀有性，以及从非精英敌人那里获得物品的几率。全图生效，这个值受到每个玩家的影响。"
MainMenu_Guide_126:: "魔法寻物"
MainMenu_Guide_127:: "另一个玩家的魔法寻物。其他玩家的魔法寻物有助于提高每个人的战利品的质量。"
MainMenu_Guide_128:: "'s 魔法寻物"
MainMenu_Guide_129:: "库存统计"
MainMenu_Guide_130:: "允许你携带 '{0}' 类型的额外物品数量"
MainMenu_Guide_131:: "你每天获得'{0}' 类型的额外物品数量"
MainMenu_Guide_132:: "重新计算统计信息"
MainMenu_Guide_133:: "每秒体力值"
MainMenu_Guide_134:: "生成的资源"
MainMenu_1:: "容易"
MainMenu_2:: "老手"
MainMenu_3:: "精英"
MainMenu_4:: "熟练"
MainMenu_5:: "挑战一"
MainMenu_6:: "挑战二"
MainMenu_7:: "挑战三"
MainMenu_8:: "挑战四"
MainMenu_9:: "挑战五"
MainMenu_10:: "挑战六"
MainMenu_11:: "地狱"
MainMenu_12:: "推荐给{0}级的玩家。\n颜色代表可获得的最高级别的战利品。"
MainMenu_13:: "敌人的攻击力更强，生命值更高。解锁更高等级的战利品。推荐等{0}级以上"
MainMenu_14:: "更难对付的敌人。拥有更多技能的精英可能会出现。能够重置所有突变点的消耗品“纯洁之心”开始出现在这里。"
MainMenu_15:: "解锁更高等级的物品。敌人更加强硬。可能会出现具有更多技能的精英人物。"
MainMenu_16:: "挑战一 每一个挑战难度的敌人都会变得更强，敌人的赏金也会更高。"
MainMenu_17:: "挑战二 解锁红色物品层-稀有，具有特殊、独特性能的传奇装备。"
MainMenu_18:: "挑战三\n随着每一个挑战难度的增加，敌人会变得更强大，他们的奖金也会更高。"
MainMenu_19:: "挑战四\n随着每一个挑战难度的增加，敌人会变得更强大，他们的奖金也会更高。"
MainMenu_20:: "挑战五\n随着每一个挑战难度的增加，敌人会变得更强大，他们的奖金也会更高。"
MainMenu_21:: "挑战六\n随着每一个挑战难度的增加，敌人会变得更强大，他们的奖金也会更高。"
MainMenu_22:: "地狱 所有的敌人都是精英。"
MainMenu_23:: "难度："
MainMenu_24:: "增加难度"
MainMenu_25:: "降低难度"
MainMenu_26:: "更改选项"
MainMenu_27:: "魔法"
MainMenu_28:: "指南 & 统计"
MainMenu_29:: "突变"
MainMenu_HUD_1:: " kills"
MainMenu_HUD_2:: "\t"
MainMenu_HUD_3:: "<color=red>精英</color>"
MainMenu_HUD_4:: "毒性"
MainMenu_HUD_5:: "坚定"
MainMenu_HUD_6:: "Boss 级坚定"
MainMenu_HUD_7:: "精英 级坚定"
MainMenu_HUD_8:: "暴风雪"
MainMenu_HUD_9:: "光辉"
MainMenu_HUD_10:: "锁链"
MainMenu_HUD_11:: "黑洞"
MainMenu_HUD_12:: "范围禁锢"
MainMenu_HUD_13:: "巨人力量"
MainMenu_HUD_14:: "巨型化"
MainMenu_HUD_15:: "微型化"
MainMenu_HUD_16:: "额外致命性"
MainMenu_HUD_17:: "额外生命"
MainMenu_HUD_18:: "破坏者"
MainMenu_HUD_19:: "扭曲"
MainMenu_HUD_20:: "雨水增益"
MainMenu_HUD_21:: "周期护盾"
MainMenu_HUD_22:: "流星雨"
MainMenu_HUD_23:: "闪耀"
MainMenu_HUD_24:: "亡灵重生"
MainMenu_HUD_25:: "雷射塔"
MainMenu_HUD_26:: "复仇者"
MainMenu_HUD_27:: "献祭"
MainMenu_HUD_28:: "敌人"
MainMenu_HUD_29:: "有盔甲的敌人受到的伤害减少。"
MainMenu_HUD_30:: "伤害"
MainMenu_HUD_31:: "赏金"
MainMenu_HUD_32:: "赏金是杀死一个敌人的经验奖励。"
MainMenu_HUD_33:: "命中后会在一段时间内造成伤害。"
MainMenu_HUD_34:: "减少了所受的伤害。"
MainMenu_HUD_35:: "大幅减少所受的伤害。"
MainMenu_HUD_36:: "极大地减少了所受的伤害。"
MainMenu_HUD_37:: "范围减速"
MainMenu_HUD_38:: "如果你靠得太近，会造成伤害。"
MainMenu_HUD_39:: "将你锁在原地一段时间。"
MainMenu_HUD_40:: "创造一个致命的黑洞。"
MainMenu_HUD_41:: "如果你进入近战范围，会把你锁在一个陷阱里。"
MainMenu_HUD_42:: "对人群控制免疫。"
MainMenu_HUD_43:: "生命和伤害与它的大小相称"
MainMenu_HUD_44:: "微小但致命的伏击者。"
MainMenu_HUD_45:: "伤害增加"
MainMenu_HUD_46:: "大幅提高生命值。"
MainMenu_HUD_47:: "命中后晕眩。"
MainMenu_HUD_48:: "在你不经意的时候传送到你身后。"
MainMenu_HUD_49:: "在雨天的时候非常强大。"
MainMenu_HUD_50:: "周期性地抵消损害。"
MainMenu_HUD_51:: "让雨来吧..."
MainMenu_HUD_52:: "施放太阳耀斑魔法。"
MainMenu_HUD_53:: "死过一次后还会复活。"
MainMenu_HUD_54:: "创造旋转的死亡射线。"
MainMenu_HUD_55:: "周围的敌人死得越多，它就越强大。建议优先击杀。"
MainMenu_HUD_56:: "死亡后，附近的所有敌人都会得到治疗并获得力量。建议最后击杀"
MainMenu_Perks_1:: "可解锁"
MainMenu_Perks_2:: "花费"
MainMenu_Perks_3:: "力量"
MainMenu_Perks_4:: "生存"
MainMenu_Spells_1:: "关闭\n(鼠标右键)"
MainMenu_Spells_2:: "能量消耗："
MainMenu_Spells_3:: "冷却时间"
MainMenu_Spells_4:: "基础冷却时间"
MainMenu_Spells_5:: "减少冷却时间"
MainMenu_Spells_6:: "解锁"
MainMenu_Spells_7:: "成本：{0}突变点"
MainMenu_Spells_8:: "等级过低"
MainMenu_Spells_9:: "在该级别解锁 - "
IndividualRerolling_1:: "改变数据"
IndividualRerolling_2:: "重置数据"
IndividualRerolling_3:: "空插槽"
IndividualRerolling_4:: "选择一个数据"
IndividualRerolling_5:: "此状态无法更改"
IndividualRerolling_6:: "可能的数据：\n"
Polishing_1:: "增强属性的物品"
Polishing_2:: "重置数据值"
Reforging_1:: "重新锻造的物品"
Reforging_2:: "改造物品"
Rerolling_1:: "重置物品"
Rerolling_2:: "重掷物品统计"
ResourceLoader_1:: "如果没有BuilderCore mod，COTF将无法工作。请安装它以使用森林冠军"
ResourceLoader_2:: "退出游戏"
ResourceLoader_3:: "森林冠军正在加载，请稍候。"
ResourceLoader_4:: "步骤 (1 of 3)\n检查现有文件。"
ResourceLoader_5:: "步骤 (2 of 3)\n下载丢失的文件。"
ResourceLoader_6:: "步骤 (3 of 3)\n加载资源。"
ResourceLoader_7:: "完成!\n 开始吧"
ResourceLoader_8:: "哦，不!\n为COTF加载资源时出现了错误!\n\n无法加载这些资源：\n"
ResourceLoader_9:: "\n\n您现在想做什么？"
ResourceLoader_10:: "<color=red>忽略错误</color>"
ResourceLoader_11:: "<color=green>尝试重新下载</color>"
ResourceLoader_12:: "正在检查更新版本。。。"
ResourceLoader_13:: "感谢{0}个喜欢和{1}次下载!"
ResourceLoader_14:: "COTF的最新情况。"
ResourceLoader_15:: "<b>您的COTF已经过时了!</b> \n 已安装{0}; 最新版 {1}"
ResourceLoader_16:: "获取更新信息失败"
ResourceLoader_17:: "预览版 ({0}) | ({1})"
ResourceLoader_18:: "最新消息"
ResourceLoader_19:: "改变COTF的语言..."
ResourceLoader_20:: "更新COTF语言"
ResourceLoader_21:: " 被标记为过期，删除并重新下载。\n"
ResourceLoader_22:: "文件 "
ResourceLoader_23:: " 完整\n"
ResourceLoader_24:: " 丢失了，正在下载。\n"
ResourceLoader_25:: "下载文件 "
ResourceLoader_26:: " - 下载文件时出错 "
ResourceLoader_27:: "加载 "
PerkDatabase_1:: "更强的打击"
PerkDatabase_2:: "基因允许肌肉迅速改变其结构，使之成为一个更有效的结构。\n每点力量增加近战伤害：{0}"
PerkDatabase_3:: "更强的魔法"
PerkDatabase_4:: "基因改变了轴突鞘的组成，大大提高了大脑的能力。\n每一点智力都会增加魔法伤害：{0}"
PerkDatabase_5:: "更强的炮弹"
PerkDatabase_6:: "肌肉和大脑之间的神经连接现在更加敏感。你的动作变得更加精确。\n每一点敏捷都会增加远程伤害：{0}"
PerkDatabase_7:: "内在能量"
PerkDatabase_8:: "心脏的肌肉变得更加耐受疲惫。\n每一点智力都会使体力和能量恢复率增加：{0}"
PerkDatabase_9:: "更多的耐力"
PerkDatabase_10:: "血红蛋白被一种能够携带更多氧气的替代物质所取代。\n每一点敏捷增加最大耐力：{0}"
PerkDatabase_11:: "更多生命"
PerkDatabase_12:: "皮肤和骨骼对伤害的抵抗力变得更强。\n每点活力都会使最大生命值增加 {0}"
PerkDatabase_13:: "更多治疗"
PerkDatabase_14:: "血液变得更稠密，结合更多的氧气，不容易出血，伤口愈合得更快。体力和精力恢复得更快。\n使所有的治疗和恢复能力提高：{0}"
PerkDatabase_15:: "\n这额外的总值：{0}"
PerkDatabase_16:: "新陈代谢"
PerkDatabase_17:: "现在消化系统中出现了更多的微生物，出汗减少了。\n减少饥饿和口渴率：{0}"
PerkDatabase_18:: "呼吸法"
PerkDatabase_19:: "每秒多恢复{0}体力。体力用于冲刺和挥舞武器。"
PerkDatabase_21:: "总计：{0}"
PerkDatabase_22:: "抓握力"
PerkDatabase_23:: "握力增加。\n增加近战伤害：{0}"
PerkDatabase_24:: "臂力"
PerkDatabase_25:: "肱二头肌的尺寸略有增加。\n增加近战伤害：{0}"
PerkDatabase_26:: "身体力量"
PerkDatabase_27:: "所有屈肌的尺寸都会增加。\n力量增加：{0}"
PerkDatabase_28:: "投射物伤害"
PerkDatabase_29:: "肩部肌肉增长。\n增加投射物的伤害：{0}"
PerkDatabase_30:: "大口径"
PerkDatabase_31:: "越大越好。\n增加投射物的尺寸：{0}"
PerkDatabase_32:: "速度"
PerkDatabase_33:: "增加投射物的速度：{0}"
PerkDatabase_34:: "蜕变"
PerkDatabase_35:: "魔法变得更容易恢复。\n{0} 的魔法消耗现在由体力而不是能量来承担。"
PerkDatabase_36:: "减少魔法成本"
PerkDatabase_37:: "为了保存能量，魔法成本降低了：{0}"
PerkDatabase_38:: "坚不可摧"
PerkDatabase_39:: "减少所有受到的伤害，但同时也减少所有造成的伤害{0}。荆棘的伤害增加了：{1}"
PerkDatabase_40:: "减少冷却时间"
PerkDatabase_41:: "减少魔法冷却时间：{0}"
PerkDatabase_42:: "减少更多的冷却时间"
PerkDatabase_43:: "减少魔法冷却时间：{0}"
PerkDatabase_44:: "所有属性"
PerkDatabase_45:: "+{0} 到力量、敏捷、活力和智李"
PerkDatabase_47:: "攻击速度增加 {0}"
PerkDatabase_48:: "可重用性 I"
PerkDatabase_49:: "有 {0} 几率在射击时不消耗弹药。"
PerkDatabase_50:: "可重用性 II"
PerkDatabase_52:: "可重用性 III"
PerkDatabase_54:: "跳跃"
PerkDatabase_55:: "增加跳跃高度：{0}"
PerkDatabase_56:: "轻手轻脚"
PerkDatabase_57:: "增加移动速度：{0}"
PerkDatabase_58:: "生命奖励"
PerkDatabase_59:: "增加生命值：{0}"
PerkDatabase_60:: "生命恢复"
PerkDatabase_61:: "生命值恢复增加{0}HP/秒。"
PerkDatabase_63:: "隐形盔甲"
PerkDatabase_64:: "增加护甲：{0}"
PerkDatabase_65:: "忍耐"
PerkDatabase_66:: "减少所有受到的伤害：{0}"
PerkDatabase_67:: "忍耐 II"
PerkDatabase_68:: "进一步减少所受的所有伤害：{0}"
PerkDatabase_69:: "忍耐 III"
PerkDatabase_70:: "减少受到的魔法伤害：{0}"
PerkDatabase_71:: "闪避"
PerkDatabase_72:: "增加闪避几率{0}"
PerkDatabase_73:: "护甲穿透"
PerkDatabase_74:: "使所有来源的装甲穿透力增加:{0}"
PerkDatabase_75:: "穿甲刃"
PerkDatabase_76:: "增加近战武器的护甲穿透力:{0}"
PerkDatabase_77:: "破甲弹"
PerkDatabase_78:: "将远程武器的护甲穿透力提高：{0}"
PerkDatabase_79:: "更多的生命恢复"
PerkDatabase_80:: "被动的生命恢复增加：{0}"
PerkDatabase_81:: "能量恢复"
PerkDatabase_82:: "每秒获得{0}能量"
PerkDatabase_83:: "洞察力"
PerkDatabase_84:: "所有获得的经验增加：{0}"
PerkDatabase_85:: "战斗生命恢复"
PerkDatabase_86:: "击中敌人时会恢复生命值：{0}"
PerkDatabase_87:: "战斗能量恢复"
PerkDatabase_88:: "击中敌人时会恢复能量值：{0}"
PerkDatabase_89:: "替代布源"
PerkDatabase_90:: "每日生成的布匹增加：{0}。允许通过手工制作将动物毛皮变成布。在垫子上放置多个相同的毛皮来制作。"
PerkDatabase_91:: "拆迁助手"
PerkDatabase_92:: "每日产生的炸弹增加：{0}。如果超过了你携带的最大数量，多余的就会丢失。"
PerkDatabase_93:: "炸药背包"
PerkDatabase_94:: "携带的炸弹和炸药的最大数量增加：{0}"
PerkDatabase_95:: "爆破专家"
PerkDatabase_96:: "每天产生的炸药量增加：{0}。如果超过了你携带的最大数量，超过的部分就会丢失。"
PerkDatabase_97:: "天赐良药"
PerkDatabase_98:: "每日生成的药物增加：{0}。 如果超过了你携带的最大数量，超过的部分就会丢失。"
PerkDatabase_99:: "无中生油"
PerkDatabase_100:: "每日产生的燃料罐增加：{0}。 如果超过了你携带的最大数量，超过的部分就会丢失。"
PerkDatabase_101:: "酿酒大师"
PerkDatabase_102:: "每日产生的酒量增加：{0}。 如果超过了你携带的最大数量，超过的部分就会丢失。"
PerkDatabase_103:: "酒鬼背包"
PerkDatabase_104:: "携带酒水的最大数量增加：{0}"
PerkDatabase_105:: "急救背包"
PerkDatabase_106:: "药物最大携带量增加：{0}"
PerkDatabase_107:: "无限袋"
PerkDatabase_108:: "发射弹丸时有{0}机会不消耗弹药"
PerkDatabase_109:: "魔法力量"
PerkDatabase_110:: "增加魔法伤害：{0}"
PerkDatabase_111:: "更多的肉"
PerkDatabase_112:: "所有肉类的携带量增加：{0}"
PerkDatabase_113:: "更多零食"
PerkDatabase_114:: "巧克力和苏打水的携带量增加：{0}"
PerkDatabase_115:: "更多弩箭"
PerkDatabase_116:: "弩箭的携带量增加：{0}"
PerkDatabase_117:: "火化收藏"
PerkDatabase_118:: "骨头的携带量增加：{0}，头颅的携带量增加：{1}。"
PerkDatabase_119:: "恐怖盛宴"
PerkDatabase_120:: "手臂、腿、头和头部炸弹的携带量增加：{0}"
PerkDatabase_121:: "包工头"
PerkDatabase_122:: "棍子的携带量增加：{0}，石头的携带量增加：{1}，绳索的携带量增加：{2}。"
PerkDatabase_123:: "背包扩容"
PerkDatabase_124:: "壶、龟壳、手表、电路板、氧气罐和照明弹的携带量增加：{0}。"
PerkDatabase_125:: "远程大师"
PerkDatabase_126:: "易断长矛和燃烧长矛的携带量增加：{0},小石子携带量增加：{1}.允许你制作燧发枪弹药（15枚硬币+1块石头）、弩箭（3块石头+3根棍子），以及现代箭（箭+硬币）。"
PerkDatabase_127:: "长矛专精"
PerkDatabase_128:: "掷出的长矛造成的伤害增加{0}。"
PerkDatabase_129:: "手枪专精"
PerkDatabase_130:: "燧发枪造成的伤害增加：{0}"
PerkDatabase_131:: "弩箭专精"
PerkDatabase_132:: "弩箭造成的伤害增加：{0}"
PerkDatabase_133:: "弓箭专精"
PerkDatabase_134:: "弓箭造成的伤害增加：{0}"
PerkDatabase_135:: "圣光加持"
PerkDatabase_136:: "圣域提供对眩晕和起源效果的免疫。"
PerkDatabase_137:: "武器附魔"
PerkDatabase_138:: "当黑色火焰开启时，所有伤害增加{0}"
PerkDatabase_139:: "呐喊战歌"
PerkDatabase_140:: "战斗呐喊额外增加所有伤害"
PerkDatabase_141:: "奋力挥舞"
PerkDatabase_142:: "近战攻击消耗{0}更多耐力，造成{1}额外伤害"
PerkDatabase_143:: "\n体力成本 - "
PerkDatabase_144:: "\n伤害 - "
PerkDatabase_145:: "超额收费"
PerkDatabase_146:: "魔法伤害增加{0}，魔法消耗增加{1}"
PerkDatabase_148:: "魔法伤害总增加： {0}\n魔法成本增加： {1}"
PerkDatabase_149:: "曝光"
